,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
4105,KX828711,Unassigned,Unassigned,Unassigned,289_88,Clustered/Singleton,1,VC_289_88,1,0.0,0.0,0.0,0,0,0,1.0
4106,KX831080,Unassigned,Unassigned,Unassigned,581_55,Clustered,3,VC_581_55,3,0.0067,0.76874846,0.0052,0,0,0,0.6667
4107,KX833211,Unassigned,Unassigned,Unassigned,56_0,Clustered,60,VC_56_0,60,0.94,1.0,0.94,0,0,0,1.0
4108,KX834009,Unassigned,Unassigned,Unassigned,574_3,Clustered,20,VC_574_3,20,0.1111,1.0,0.1111,0,0,0,0.8684
4109,KX845404,Unassigned,Unassigned,Unassigned,200_0,Clustered,14,VC_200_0,14,0.4255,1.0,0.4255,0,0,0,1.0
4110,KX855961,Unassigned,Unassigned,Unassigned,1078_0,Clustered,19,VC_1078_0,19,0.9016,1.0,0.9016,0,0,0,1.0
4111,KX855962,Unassigned,Unassigned,Unassigned,1078_0,Clustered,19,VC_1078_0,19,0.9016,1.0,0.9016,0,0,0,1.0
4112,KX856662,Unassigned,Unassigned,Unassigned,118_0,Clustered,66,VC_118_0,66,0.9514,1.0,0.9514,0,0,0,1.0
4113,KX879601,Unassigned,Unassigned,Unassigned,744_0,Clustered,9,VC_744_0,9,1.0,0.0,0.0,0,0,0,1.0
4114,KX879602,Unassigned,Unassigned,Unassigned,744_0,Clustered,9,VC_744_0,9,1.0,0.0,0.0,0,0,0,1.0
4115,KX879627,Unassigned,Unassigned,Unassigned,851_0,Clustered,27,VC_851_0,27,0.9396,1.0,0.9396,0,0,0,1.0
4116,KX879641,Unassigned,Unassigned,Unassigned,261_0,Clustered,14,VC_261_0,14,0.2591,1.0,0.2591,0,0,0,1.0
4117,KX879642,Unassigned,Unassigned,Unassigned,261_0,Clustered,14,VC_261_0,14,0.2591,1.0,0.2591,0,0,0,1.0
4118,KX879643,Unassigned,Unassigned,Unassigned,262_0,Clustered,14,VC_262_0,14,0.2114,1.0,0.2114,0,0,0,1.0
4119,KX889068,Unassigned,Unassigned,Unassigned,927_0,Clustered,7,VC_927_0,7,0.5795,1.0,0.5795,0,0,0,1.0
4120,KX897981,Unassigned,Unassigned,Unassigned,224_1,Clustered,17,VC_224_1,17,0.342,1.0,0.342,0,0,0,1.0
4121,KX898399,Unassigned,Unassigned,Unassigned,497_0,Clustered,6,VC_497_0,6,0.2454,1.0,0.2454,0,0,0,1.0
4122,KX898400,Unassigned,Unassigned,Unassigned,497_0,Clustered,6,VC_497_0,6,0.2454,1.0,0.2454,0,0,0,1.0
4123,KX911187,Unassigned,Unassigned,Unassigned,814_0,Clustered,2,VC_814_0,2,0.1308,0.54523903,0.0713,0,0,0,1.0
4124,KX912252,Unassigned,Unassigned,Unassigned,897_0,Clustered,5,VC_897_0,5,0.4963,0.9999996,0.4963,0,0,0,1.0
4125,KX925554,Unassigned,Unassigned,Unassigned,961_1,Clustered/Singleton,1,VC_961_1,1,0.0,0.0,0.0,0,0,0,1.0
4126,KX961385,Unassigned,Unassigned,Unassigned,169_0,Clustered,26,VC_169_0,26,0.7886,1.0,0.7886,0,0,0,1.0
4127,KX961629,Unassigned,Unassigned,Unassigned,887_0,Clustered,28,VC_887_0,28,0.6205,1.0,0.6205,0,0,0,0.9841
4128,KX961630,Unassigned,Unassigned,Unassigned,190_0,Clustered,4,VC_190_0,4,0.0663,0.99988769,0.0663,0,0,0,1.0
4129,KX961631,Unassigned,Unassigned,Unassigned,837_0,Clustered,20,VC_837_0,20,0.9627,1.0,0.9627,0,0,0,1.0
4130,KX961632,Unassigned,Unassigned,Unassigned,887_0,Clustered,28,VC_887_0,28,0.6205,1.0,0.6205,0,0,0,0.9841
4131,KX965989,Unassigned,Unassigned,Unassigned,151_1,Clustered,3,VC_151_1,3,0.1544,0.97750718,0.1509,0,0,0,1.0
4132,KX982260,Unassigned,Unassigned,Unassigned,921_0,Clustered,4,VC_921_0,4,0.2723,0.95747801,0.2608,0,0,0,1.0
4133,KX987127,Unassigned,Unassigned,Unassigned,824_0,Clustered,4,VC_824_0,4,0.9089,0.99245377,0.902,0,0,0,1.0
4134,KX987158,Unassigned,Unassigned,Unassigned,1052_0,Clustered,6,VC_1052_0,6,0.528,1.0,0.528,0,0,0,1.0
4135,KX987999,Unassigned,Unassigned,Unassigned,190_1,Clustered,7,VC_190_1,7,0.1428,1.0,0.1428,0,0,0,1.0
4136,KY000003,Unassigned,Unassigned,Unassigned,140_23,Clustered,2,VC_140_23,2,0.0051,0.72285527,0.0037,0,0,0,1.0
4137,KY000079,Unassigned,Unassigned,Unassigned,712_0,Clustered,5,VC_712_0,5,0.7708,0.99999978,0.7708,0,0,0,1.0
4138,KY000080,Unassigned,Unassigned,Unassigned,518_0,Clustered,33,VC_518_0,33,0.5064,1.0,0.5064,0,0,0,0.9716
4139,KY000081,Unassigned,Unassigned,Unassigned,118_0,Clustered,66,VC_118_0,66,0.9514,1.0,0.9514,0,0,0,1.0
4140,KY000082,Unassigned,Unassigned,Unassigned,82_3,Clustered,2,VC_82_3,2,0.0051,0.87559508,0.0045,0,0,0,1.0
4141,KY000083,Unassigned,Unassigned,Unassigned,80_0,Clustered,37,VC_80_0,37,0.9453,1.0,0.9453,0,0,0,1.0
4142,KY000084,Unassigned,Unassigned,Unassigned,103_0,Clustered,30,VC_103_0,30,0.7369,1.0,0.7369,0,0,0,1.0
4143,KY000085,Unassigned,Unassigned,Unassigned,103_0,Clustered,30,VC_103_0,30,0.7369,1.0,0.7369,0,0,0,1.0
4144,KY000218,Unassigned,Unassigned,Unassigned,169_0,Clustered,26,VC_169_0,26,0.7886,1.0,0.7886,0,0,0,1.0
4145,KY000219,Unassigned,Unassigned,Unassigned,169_0,Clustered,26,VC_169_0,26,0.7886,1.0,0.7886,0,0,0,1.0
4146,KY000220,Unassigned,Unassigned,Unassigned,169_0,Clustered,26,VC_169_0,26,0.7886,1.0,0.7886,0,0,0,1.0
4147,KY000221,Unassigned,Unassigned,Unassigned,169_0,Clustered,26,VC_169_0,26,0.7886,1.0,0.7886,0,0,0,1.0
4148,KY002061,Unassigned,Unassigned,Unassigned,1052_0,Clustered,6,VC_1052_0,6,0.528,1.0,0.528,0,0,0,1.0
4149,KY006473,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
4150,KY006474,Unassigned,Unassigned,Unassigned,374_4,Clustered,13,VC_374_4,13,0.044,1.0,0.044,0,0,0,0.8205
4151,KY006853,Unassigned,Unassigned,Unassigned,173_1,Clustered/Singleton,1,VC_173_1,1,0.0,0.0,0.0,0,0,0,1.0
4152,KY012363,Unassigned,Unassigned,Unassigned,547_64,Clustered,15,VC_547_64,15,0.1435,1.0,0.1435,0,0,0,0.8381
4153,KY014601,Unassigned,Unassigned,Unassigned,617_0,Clustered,47,VC_617_0,47,0.716,1.0,0.716,0,0,0,1.0
4154,KY022433,Unassigned,Unassigned,Unassigned,904_2,Clustered,6,VC_904_2,6,0.2673,1.0,0.2673,0,0,0,1.0
4155,KY030782,Unassigned,Unassigned,Unassigned,96_2,Clustered,5,VC_96_2,5,0.2032,0.99999673,0.2032,0,0,0,1.0
4156,KY038360,Unassigned,Unassigned,Unassigned,1080_0,Clustered,2,VC_1080_0,2,0.068,0.89539989,0.0609,0,0,0,1.0
4157,KY045851,Unassigned,Unassigned,Unassigned,6_0,Clustered,25,VC_6_0,25,0.9568,1.0,0.9568,0,0,0,1.0
4158,KY056619,Unassigned,Unassigned,Unassigned,882_0,Clustered,36,VC_882_0,36,0.9923,1.0,0.9923,0,0,0,1.0
4159,KY056620,Unassigned,Unassigned,Unassigned,9_0,Clustered,43,VC_9_0,43,0.8225,1.0,0.8225,0,0,0,1.0
4160,KY065147,Unassigned,Unassigned,Unassigned,523_1,Clustered,41,VC_523_1,41,0.3285,1.0,0.3285,0,0,0,0.911
4161,KY065148,Unassigned,Unassigned,Unassigned,794_0,Clustered,4,VC_794_0,4,0.4954,0.99996236,0.4954,0,0,0,1.0
4162,KY065149,Unassigned,Unassigned,Unassigned,992_0,Clustered,2,VC_992_0,2,0.1023,0.90502437,0.0926,0,0,0,1.0
4163,KY065449,Unassigned,Unassigned,Unassigned,449_0,Clustered/Singleton,1,VC_449_0,1,0.0,0.0,0.0,0,0,0,1.0
4164,KY065450,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4165,KY065451,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4166,KY065452,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4167,KY065453,Unassigned,Unassigned,Unassigned,335_0,Clustered,25,VC_335_0,25,0.4628,1.0,0.4628,0,0,0,1.0
4168,KY065454,Unassigned,Unassigned,Unassigned,335_0,Clustered,25,VC_335_0,25,0.4628,1.0,0.4628,0,0,0,1.0
4169,KY065455,Unassigned,Unassigned,Unassigned,446_0,Clustered,39,VC_446_0,39,0.8472,1.0,0.8472,0,0,0,1.0
4170,KY065456,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4171,KY065458,Unassigned,Unassigned,Unassigned,335_0,Clustered,25,VC_335_0,25,0.4628,1.0,0.4628,0,0,0,1.0
4172,KY065459,Unassigned,Unassigned,Unassigned,335_0,Clustered,25,VC_335_0,25,0.4628,1.0,0.4628,0,0,0,1.0
4173,KY065460,Unassigned,Unassigned,Unassigned,335_0,Clustered,25,VC_335_0,25,0.4628,1.0,0.4628,0,0,0,1.0
4174,KY065461,Unassigned,Unassigned,Unassigned,335_0,Clustered,25,VC_335_0,25,0.4628,1.0,0.4628,0,0,0,1.0
4175,KY065462,Unassigned,Unassigned,Unassigned,335_0,Clustered,25,VC_335_0,25,0.4628,1.0,0.4628,0,0,0,1.0
4176,KY065463,Unassigned,Unassigned,Unassigned,335_0,Clustered,25,VC_335_0,25,0.4628,1.0,0.4628,0,0,0,1.0
4177,KY065469,Unassigned,Unassigned,Unassigned,335_0,Clustered,25,VC_335_0,25,0.4628,1.0,0.4628,0,0,0,1.0
4178,KY065470,Unassigned,Unassigned,Unassigned,335_0,Clustered,25,VC_335_0,25,0.4628,1.0,0.4628,0,0,0,1.0
4179,KY065471,Unassigned,Unassigned,Unassigned,335_0,Clustered,25,VC_335_0,25,0.4628,1.0,0.4628,0,0,0,1.0
4180,KY065472,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4181,KY065473,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4182,KY065474,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4183,KY065475,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4184,KY065476,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4185,KY065477,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4186,KY065478,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4187,KY065479,Unassigned,Unassigned,Unassigned,446_0,Clustered,39,VC_446_0,39,0.8472,1.0,0.8472,0,0,0,1.0
4188,KY065480,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4189,KY065485,Unassigned,Unassigned,Unassigned,320_2,Clustered,20,VC_320_2,20,0.2026,1.0,0.2026,0,0,0,0.6842
4190,KY065486,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4191,KY065487,Unassigned,Unassigned,Unassigned,446_0,Clustered,39,VC_446_0,39,0.8472,1.0,0.8472,0,0,0,1.0
4192,KY065488,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4193,KY065490,Unassigned,Unassigned,Unassigned,446_0,Clustered,39,VC_446_0,39,0.8472,1.0,0.8472,0,0,0,1.0
4194,KY065491,Unassigned,Unassigned,Unassigned,446_0,Clustered,39,VC_446_0,39,0.8472,1.0,0.8472,0,0,0,1.0
4195,KY065492,Unassigned,Unassigned,Unassigned,446_0,Clustered,39,VC_446_0,39,0.8472,1.0,0.8472,0,0,0,1.0
4196,KY065493,Unassigned,Unassigned,Unassigned,446_0,Clustered,39,VC_446_0,39,0.8472,1.0,0.8472,0,0,0,1.0
4197,KY065494,Unassigned,Unassigned,Unassigned,335_0,Clustered,25,VC_335_0,25,0.4628,1.0,0.4628,0,0,0,1.0
4198,KY065495,Unassigned,Unassigned,Unassigned,335_0,Clustered,25,VC_335_0,25,0.4628,1.0,0.4628,0,0,0,1.0
4199,KY065496,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4200,KY065497,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4201,KY065498,Unassigned,Unassigned,Unassigned,326_1,Clustered,9,VC_326_1,9,0.1801,1.0,0.1801,0,0,0,0.75
4202,KY065499,Unassigned,Unassigned,Unassigned,335_0,Clustered,25,VC_335_0,25,0.4628,1.0,0.4628,0,0,0,1.0
4203,KY065500,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4204,KY065501,Unassigned,Unassigned,Unassigned,446_0,Clustered,39,VC_446_0,39,0.8472,1.0,0.8472,0,0,0,1.0
4205,KY065502,Unassigned,Unassigned,Unassigned,446_0,Clustered,39,VC_446_0,39,0.8472,1.0,0.8472,0,0,0,1.0
4206,KY065503,Unassigned,Unassigned,Unassigned,320_2,Clustered,20,VC_320_2,20,0.2026,1.0,0.2026,0,0,0,0.6842
4207,KY065504,Unassigned,Unassigned,Unassigned,320_2,Clustered,20,VC_320_2,20,0.2026,1.0,0.2026,0,0,0,0.6842
4208,KY065505,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
4209,KY073228,Unassigned,Unassigned,Unassigned,80_0,Clustered,37,VC_80_0,37,0.9453,1.0,0.9453,0,0,0,1.0
4210,KY082667,Unassigned,Unassigned,Unassigned,707_0,Clustered,67,VC_707_0,67,0.9331,1.0,0.9331,0,0,0,1.0
4211,KY083058,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
4212,KY083059,Unassigned,Unassigned,Unassigned,544_1,Clustered,24,VC_544_1,24,0.1636,1.0,0.1636,0,0,0,0.9855
4213,KY083060,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
4214,KY083061,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
4215,KY083062,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
4216,KY083063,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
4217,KY083726,Unassigned,Unassigned,Unassigned,796_1,Clustered,10,VC_796_1,10,0.6808,1.0,0.6808,0,0,0,1.0
4218,KY084243,Unassigned,Unassigned,Unassigned,419_0,Clustered,48,VC_419_0,48,0.7806,1.0,0.7806,0,0,0,1.0
4219,KY087898,Unassigned,Unassigned,Unassigned,807_0,Clustered,34,VC_807_0,34,0.9747,1.0,0.9747,0,0,0,1.0
4220,KY087992,Unassigned,Unassigned,Unassigned,240_0,Clustered,20,VC_240_0,20,0.8144,1.0,0.8144,0,0,0,1.0
4221,KY087993,Unassigned,Unassigned,Unassigned,243_0,Clustered,13,VC_243_0,13,0.1712,1.0,0.1712,0,0,0,0.7692
4222,KY092479,Unassigned,Unassigned,Unassigned,740_0,Clustered,11,VC_740_0,11,0.4955,1.0,0.4955,0,0,0,1.0
4223,KY092480,Unassigned,Unassigned,Unassigned,740_0,Clustered,11,VC_740_0,11,0.4955,1.0,0.4955,0,0,0,1.0
4224,KY092481,Unassigned,Unassigned,Unassigned,740_0,Clustered,11,VC_740_0,11,0.4955,1.0,0.4955,0,0,0,1.0
4225,KY092482,Unassigned,Unassigned,Unassigned,740_0,Clustered,11,VC_740_0,11,0.4955,1.0,0.4955,0,0,0,1.0
4226,KY092483,Unassigned,Unassigned,Unassigned,740_0,Clustered,11,VC_740_0,11,0.4955,1.0,0.4955,0,0,0,1.0
4227,KY092484,Unassigned,Unassigned,Unassigned,740_0,Clustered,11,VC_740_0,11,0.4955,1.0,0.4955,0,0,0,1.0
4228,KY114934,Unassigned,Unassigned,Unassigned,198_21,Clustered/Singleton,1,VC_198_21,1,0.0,0.0,0.0,0,0,0,1.0
4229,KY124276,Unassigned,Unassigned,Unassigned,422_0,Clustered,5,VC_422_0,5,0.0993,0.99999995,0.0993,0,0,0,1.0
4230,KY130461,Unassigned,Unassigned,Unassigned,535_0,Clustered,8,VC_535_0,8,0.4785,1.0,0.4785,0,0,0,1.0
4231,KY176369,Unassigned,Unassigned,Unassigned,653_1,Clustered,29,VC_653_1,29,0.2543,1.0,0.2543,0,0,0,0.9261
4232,KY203335,Unassigned,Unassigned,Unassigned,442_0,Clustered,3,VC_442_0,3,0.1475,0.96736397,0.1427,0,0,0,1.0
4233,KY204244,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
4234,KY204245,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
4235,KY204246,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
4236,KY204247,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
4237,KY204248,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
4238,KY204249,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
4239,KY204250,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
4240,KY204251,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
4241,KY206887,Unassigned,Unassigned,Unassigned,149_0,Clustered,3,VC_149_0,3,0.9314,0.9956044,0.9273,0,0,0,1.0
4242,KY210139,Unassigned,Unassigned,Unassigned,368_0,Clustered,14,VC_368_0,14,0.6086,1.0,0.6086,0,0,0,1.0
4243,KY213952,Unassigned,Unassigned,Unassigned,327_24,Clustered,6,VC_327_24,6,0.0202,0.99999994,0.0202,0,0,0,0.7333
4244,KY223999,Unassigned,Unassigned,Unassigned,773_2,Clustered,7,VC_773_2,7,0.2813,1.0,0.2813,0,0,0,1.0
4245,KY224000,Unassigned,Unassigned,Unassigned,376_4,Clustered,9,VC_376_4,9,0.1941,1.0,0.1941,0,0,0,1.0
4246,KY224001,Unassigned,Unassigned,Unassigned,327_21,Clustered,2,VC_327_21,2,0.0038,0.90951245,0.0035,0,0,0,1.0
4247,KY250035,Unassigned,Unassigned,Unassigned,422_0,Clustered,5,VC_422_0,5,0.0993,0.99999995,0.0993,0,0,0,1.0
4248,KY250482,Unassigned,Unassigned,Unassigned,442_0,Clustered,3,VC_442_0,3,0.1475,0.96736397,0.1427,0,0,0,1.0
4249,KY264020,Unassigned,Unassigned,Unassigned,962_0,Clustered,3,VC_962_0,3,0.868,0.9,0.7812,0,0,0,1.0
4250,KY268295,Unassigned,Unassigned,Unassigned,707_0,Clustered,67,VC_707_0,67,0.9331,1.0,0.9331,0,0,0,1.0
4251,KY268296,Unassigned,Unassigned,Unassigned,707_0,Clustered,67,VC_707_0,67,0.9331,1.0,0.9331,0,0,0,1.0
4252,KY271395,Unassigned,Unassigned,Unassigned,36_0,Clustered,9,VC_36_0,9,0.343,1.0,0.343,0,0,0,0.8056
4253,KY271396,Unassigned,Unassigned,Unassigned,36_0,Clustered,9,VC_36_0,9,0.343,1.0,0.343,0,0,0,0.8056
4254,KY271397,Unassigned,Unassigned,Unassigned,57_0,Clustered,32,VC_57_0,32,0.9129,1.0,0.9129,0,0,0,1.0
4255,KY271398,Unassigned,Unassigned,Unassigned,3_0,Clustered,44,VC_3_0,44,0.8535,1.0,0.8535,0,0,0,1.0
4256,KY271401,Unassigned,Unassigned,Unassigned,251_0,Clustered,12,VC_251_0,12,0.4053,1.0,0.4053,0,0,0,1.0
4257,KY271402,Unassigned,Unassigned,Unassigned,58_0,Clustered,4,VC_58_0,4,0.4357,0.99996176,0.4357,0,0,0,1.0
4258,KY290756,Unassigned,Unassigned,Unassigned,1033_0,Clustered,20,VC_1033_0,20,0.7139,1.0,0.7139,0,0,0,1.0
4259,KY290947,Unassigned,Unassigned,Unassigned,1189_0,Clustered,9,VC_1189_0,9,0.941,1.0,0.941,0,0,0,1.0
4260,KY290948,Unassigned,Unassigned,Unassigned,624_1,Clustered,7,VC_624_1,7,0.1832,0.99999996,0.1832,0,0,0,1.0
4261,KY290949,Unassigned,Unassigned,Unassigned,1189_0,Clustered,9,VC_1189_0,9,0.941,1.0,0.941,0,0,0,1.0
4262,KY290950,Unassigned,Unassigned,Unassigned,1189_0,Clustered,9,VC_1189_0,9,0.941,1.0,0.941,0,0,0,1.0
4263,KY290951,Unassigned,Unassigned,Unassigned,624_1,Clustered,7,VC_624_1,7,0.1832,0.99999996,0.1832,0,0,0,1.0
4264,KY290952,Unassigned,Unassigned,Unassigned,1189_0,Clustered,9,VC_1189_0,9,0.941,1.0,0.941,0,0,0,1.0
4265,KY290953,Unassigned,Unassigned,Unassigned,371_0,Clustered,6,VC_371_0,6,0.5117,1.0,0.5117,0,0,0,1.0
4266,KY290954,Unassigned,Unassigned,Unassigned,371_0,Clustered,6,VC_371_0,6,0.5117,1.0,0.5117,0,0,0,1.0
4267,KY290955,Unassigned,Unassigned,Unassigned,473_1,Clustered,2,VC_473_1,2,0.0287,0.78502391,0.0225,0,0,0,1.0
4268,KY290956,Unassigned,Unassigned,Unassigned,624_1,Clustered,7,VC_624_1,7,0.1832,0.99999996,0.1832,0,0,0,1.0
4269,KY290957,Unassigned,Unassigned,Unassigned,624_1,Clustered,7,VC_624_1,7,0.1832,0.99999996,0.1832,0,0,0,1.0
4270,KY290958,Unassigned,Unassigned,Unassigned,624_1,Clustered,7,VC_624_1,7,0.1832,0.99999996,0.1832,0,0,0,1.0
4271,KY290975,Unassigned,Unassigned,Unassigned,289_125,Clustered/Singleton,1,VC_289_125,1,0.0,0.0,0.0,0,0,0,1.0
4272,KY295891,Unassigned,Unassigned,Unassigned,482_0,Clustered,53,VC_482_0,53,0.9183,1.0,0.9183,0,0,0,1.0
4273,KY295892,Unassigned,Unassigned,Unassigned,482_0,Clustered,53,VC_482_0,53,0.9183,1.0,0.9183,0,0,0,1.0
4274,KY295893,Unassigned,Unassigned,Unassigned,482_0,Clustered,53,VC_482_0,53,0.9183,1.0,0.9183,0,0,0,1.0
4275,KY295894,Unassigned,Unassigned,Unassigned,481_0,Clustered,79,VC_481_0,79,0.9991,1.0,0.9991,0,0,0,1.0
4276,KY295895,Unassigned,Unassigned,Unassigned,654_0,Clustered,41,VC_654_0,41,0.7179,1.0,0.7179,0,0,0,1.0
4277,KY295896,Unassigned,Unassigned,Unassigned,654_0,Clustered,41,VC_654_0,41,0.7179,1.0,0.7179,0,0,0,1.0
4278,KY295897,Unassigned,Unassigned,Unassigned,482_0,Clustered,53,VC_482_0,53,0.9183,1.0,0.9183,0,0,0,1.0
4279,KY295898,Unassigned,Unassigned,Unassigned,654_0,Clustered,41,VC_654_0,41,0.7179,1.0,0.7179,0,0,0,1.0
4280,KY295899,Unassigned,Unassigned,Unassigned,482_0,Clustered,53,VC_482_0,53,0.9183,1.0,0.9183,0,0,0,1.0
4281,KY296500,Unassigned,Unassigned,Unassigned,834_0,Clustered,3,VC_834_0,3,1.0,0.0,0.0,0,0,0,1.0
4282,KY296501,Unassigned,Unassigned,Unassigned,834_0,Clustered,3,VC_834_0,3,1.0,0.0,0.0,0,0,0,1.0
4283,KY303907,Unassigned,Unassigned,Unassigned,115_0,Clustered,33,VC_115_0,33,0.9493,1.0,0.9493,0,0,0,1.0
4284,KY316062,Unassigned,Unassigned,Unassigned,73_0,Clustered,24,VC_73_0,24,0.5867,1.0,0.5867,0,0,0,1.0
4285,KY318515,Unassigned,Unassigned,Unassigned,881_0,Clustered,31,VC_881_0,31,0.9963,1.0,0.9963,0,0,0,1.0
4286,KY319168,Unassigned,Unassigned,Unassigned,574_2,Clustered,16,VC_574_2,16,0.0912,1.0,0.0912,0,0,0,0.9333
4287,KY348865,Unassigned,Unassigned,Unassigned,547_5,Clustered/Singleton,1,VC_547_5,1,0.0,0.0,0.0,0,0,0,1.0
4288,KY349816,Unassigned,Unassigned,Unassigned,446_0,Clustered,39,VC_446_0,39,0.8472,1.0,0.8472,0,0,0,1.0
4289,KY363465,Unassigned,Unassigned,Unassigned,201_0,Clustered,2,VC_201_0,2,0.0317,0.9152329,0.029,0,0,0,1.0
4290,KY365739,Unassigned,Unassigned,Unassigned,979_0,Clustered,11,VC_979_0,11,0.9671,1.0,0.9671,0,0,0,1.0
4291,KY368639,Unassigned,Unassigned,Unassigned,94_0,Clustered,8,VC_94_0,8,0.5809,1.0,0.5809,0,0,0,1.0
4292,KY368640,Unassigned,Unassigned,Unassigned,92_4,Clustered,2,VC_92_4,2,0.015,0.76800925,0.0115,0,0,0,1.0
4293,KY379511,Unassigned,Unassigned,Unassigned,897_0,Clustered,5,VC_897_0,5,0.4963,0.9999996,0.4963,0,0,0,1.0
4294,KY379853,Unassigned,Unassigned,Unassigned,653_0,Clustered,112,VC_653_0,112,0.7111,1.0,0.7111,0,0,0,0.9131
4295,KY380102,Unassigned,Unassigned,Unassigned,242_0,Clustered,69,VC_242_0,69,0.7874,1.0,0.7874,0,0,0,1.0
4296,KY381600,Unassigned,Unassigned,Unassigned,650_1,Clustered,6,VC_650_1,6,0.4283,1.0,0.4283,0,0,0,1.0
4297,KY385381,Unassigned,Unassigned,Unassigned,774_0,Clustered,4,VC_774_0,4,0.3713,0.99994725,0.3712,0,0,0,1.0
4298,KY385384,Unassigned,Unassigned,Unassigned,547_84,Clustered/Singleton,1,VC_547_84,1,0.0,0.0,0.0,0,0,0,1.0
4299,KY385423,Unassigned,Unassigned,Unassigned,118_0,Clustered,66,VC_118_0,66,0.9514,1.0,0.9514,0,0,0,1.0
4300,KY389063,Unassigned,Unassigned,Unassigned,8_0,Clustered,26,VC_8_0,26,0.393,1.0,0.393,0,0,0,0.9969
