id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
TC12_NODE_5_length_1359165_cov_50.766149_fragment_6	287	1	24341	1	100	100%
TC5_NODE_11_length_598228_cov_12.707847_fragment_4_1	288	1	24253	1	100	100%
TC38_NODE_164_length_24167_cov_1.355158	289	1	24167	1	100	100%
TC6_NODE_10_length_786305_cov_10.390390_fragment_2	290	1	24140	1	100	100%
TC9_NODE_535_length_24118_cov_89.510650	291	1	24118	1	100	100%
TC17_NODE_114_length_35533_cov_1.733915_fragment_1	292	1	24084	1	100	100%
TC44_NODE_149_length_94989_cov_2.906380_fragment_1_1	293	1	24050	1	100	100%
TC16_NODE_168_length_23899_cov_13.420032	294	1	23899	1	100	100%
TC5_NODE_11_length_598228_cov_12.707847_fragment_1_1	295	1	23850	1	100	100%
TC16_NODE_35_length_169955_cov_19.238512_fragment_1	296	1	23740	1	100	100%
TC11_NODE_638_length_23721_cov_1.229126	297	2	23721	1	100	100%
TC22_k99_3417	297	2	12661	0	99.99%	53%
TC13_NODE_131_length_32190_cov_1.431401_fragment_1	298	1	23621	1	100	100%
TC21_NODE_364_length_25009_cov_5.522225_1	299	1	23611	1	100	100%
TC18_NODE_111_length_23602_cov_12.434164	300	1	23602	1	100	100%
TC9_NODE_9_length_1201113_cov_15.041872_fragment_1	301	1	23535	1	100	100%
TC25_k99_8030	302	1	23245	1	100	100%
TC8_NODE_101_length_93400_cov_37.579921_fragment_1	303	1	23228	1	100	100%
TC16_NODE_173_length_23176_cov_18.279622	304	2	23176	1	100	100%
TC7_NODE_708_length_5967_cov_1.229110	304	2	5967	0	99.98%	25%
TC17_NODE_167_length_23144_cov_246.231307	305	1	23144	1	100	100%
TC17_NODE_171_length_23030_cov_3.826224	306	1	23030	1	100	100%
TC16_NODE_18_length_336079_cov_81.060524_fragment_8	307	2	23026	1	100	100%
TC47_NODE_20_length_337701_cov_5.369863_fragment_8	307	2	23026	0	100.00%	100%
TC35_NODE_43_length_82804_cov_135.385911_fragment_1	308	1	22792	1	100	100%
TC23_NODE_280_length_22626_cov_3.223210	309	1	22626	1	100	100%
TC23_NODE_136_length_91462_cov_3.281042_fragment_3_1	310	1	22592	1	100	100%
TC46_NODE_278_length_32779_cov_1.266416_fragment_1	311	1	22441	1	100	100%
TC29_NODE_12_length_976053_cov_17.804172_fragment_13_1	312	2	22392	1	100	100%
TC43_NODE_6_length_916318_cov_19.805566_fragment_13_1	312	2	22392	0	100.00%	100%
TC32_NODE_324_length_28793_cov_2.027803_fragment_1	313	1	22150	1	100	100%
TC14_NODE_461_length_22082_cov_1.191710	314	1	22082	1	100	100%
TC3_NODE_4_length_355048_cov_7.697313_fragment_2	315	1	22070	1	100	100%
TC11_NODE_147_length_121833_cov_2.735863_fragment_1_1	316	2	21926	1	100	100%
TC22_k99_15394_fragment_1_1	316	2	21926	0	100.00%	100%
TC42_NODE_4_length_2038731_cov_15.672222_fragment_3	317	1	21853	1	100	100%
TC25_k99_9947_fragment_2	318	1	21785	1	100	100%
TC39_NODE_494_length_21697_cov_160.038248	319	1	21697	1	100	100%
TC47_NODE_7_length_713845_cov_10.389930_fragment_7	320	1	21635	1	100	100%
TC29_NODE_12_length_976053_cov_17.804172_fragment_8	321	2	21558	1	100	100%
TC43_NODE_6_length_916318_cov_19.805566_fragment_8	321	2	21558	0	100.00%	100%
TC19_k99_28466_fragment_9	322	1	21504	1	100	100%
TC19_k99_5624	323	1	21497	1	100	100%
TC9_NODE_16_length_813322_cov_4.054799_fragment_17	324	1	21404	1	100	100%
TC15_NODE_618_length_21382_cov_5.734133	325	1	21382	1	100	100%
TC7_NODE_4_length_778944_cov_6.565113_fragment_7	326	1	21298	1	100	100%
TC46_NODE_4_length_2196845_cov_30.805628_fragment_23_1	327	1	21291	1	100	100%
TC1_NODE_92_length_329205_cov_4.192884_fragment_1	328	1	21178	1	100	100%
TC20_NODE_20_length_532931_cov_6.959728_fragment_1	329	1	21176	1	100	100%
TC29_NODE_29_length_554407_cov_12.344050_fragment_1	330	1	21062	1	100	100%
TC39_NODE_511_length_21034_cov_86.696274	331	1	21034	1	100	100%
TC39_NODE_513_length_20992_cov_111.629954	332	1	20992	1	100	100%
TC19_k99_35266_fragment_2	333	1	20989	1	100	100%
TC25_k99_10258_fragment_29	334	1	20867	1	100	100%
TC21_NODE_400_length_20824_cov_5.041359	335	1	20824	1	100	100%
TC21_NODE_401_length_20686_cov_2.589036	336	1	20686	1	100	100%
TC30_NODE_166_length_38633_cov_1.834208_fragment_1	337	1	20636	1	100	100%
TC29_NODE_117_length_213129_cov_2.900386_fragment_3	338	2	20615	1	100	100%
TC25_k99_5031	338	2	6236	0	100.00%	30%
TC30_NODE_47_length_154128_cov_1.918189_fragment_1	339	1	20597	1	100	100%
TC8_NODE_11_length_504904_cov_8.476547_fragment_7	340	1	20572	1	100	100%
TC29_NODE_243_length_91270_cov_12.433198_fragment_1	341	1	20546	1	100	100%
TC9_NODE_622_length_20530_cov_1.513895	342	1	20530	1	100	100%
TC20_NODE_2_length_2062810_cov_9.598793_fragment_17	343	1	20522	1	100	100%
TC2_NODE_163_length_145836_cov_18.374973_fragment_1	344	1	20502	1	100	100%
TC12_NODE_301_length_20469_cov_40.997247	345	1	20469	1	100	100%
TC36_NODE_337_length_20396_cov_2.484385	346	1	20396	1	100	100%
TC29_NODE_34_length_490366_cov_3.009440_fragment_2	347	1	20289	1	100	100%
TC25_k99_5651	348	1	20191	1	100	100%
TC43_NODE_261_length_20169_cov_105.725726	349	1	20169	1	100	100%
TC42_NODE_4_length_2038731_cov_15.672222_fragment_15	350	1	20160	1	100	100%
TC2_NODE_452_length_34432_cov_18.148200_fragment_1	351	1	20131	1	100	100%
TC39_NODE_245_length_50334_cov_108.036987_fragment_1_1	352	1	19946	1	100	100%
TC19_k99_32096_fragment_1	353	1	19943	1	100	100%
TC39_NODE_13_length_671287_cov_7.523416_fragment_9	354	1	19714	1	100	100%
TC39_NODE_538_length_19541_cov_149.898836	355	1	19541	1	100	100%
TC42_NODE_11_length_1360783_cov_3.952205_fragment_14	356	1	19484	1	100	100%
TC1_NODE_142_length_209220_cov_32.470360_fragment_1	357	1	19265	1	100	100%
TC48_NODE_226_length_19246_cov_207.275119	358	1	19246	1	100	100%
TC46_NODE_2_length_2911974_cov_72.510502_fragment_34	359	1	19205	1	100	100%
TC11_NODE_769_length_18873_cov_2.796010	360	2	18873	1	100	100%
TC22_k99_941	360	2	18865	0	100.00%	99%
TC46_NODE_2_length_2911974_cov_72.510502_fragment_39	361	1	18865	1	100	100%
TC11_NODE_772_length_18823_cov_1.480317	362	1	18823	1	100	100%
TC48_NODE_27_length_256534_cov_1.857933_fragment_4	363	1	18620	1	100	100%
TC41_NODE_7_length_338930_cov_6.437213_fragment_2_1	364	1	18568	1	100	100%
TC3_NODE_4_length_355048_cov_7.697313_fragment_1_1	365	2	18469	1	100	100%
TC46_NODE_490_length_18758_cov_2.175085_fragment_1	365	2	8663	0	100.00%	46%
TC44_NODE_4_length_2252506_cov_13.870450_fragment_22	366	1	18412	1	100	100%
TC2_NODE_245_length_89157_cov_1.930237_fragment_1_1	367	1	18381	1	100	100%
TC26_NODE_206_length_30119_cov_172.442785_1	368	1	18365	1	100	100%
TC1_NODE_16_length_1054541_cov_7.646558_fragment_2_1	369	1	18341	1	100	100%
TC21_NODE_305_length_31290_cov_1.652408_fragment_1	370	1	18276	1	100	100%
TC16_NODE_18_length_336079_cov_81.060524_fragment_1	371	2	18256	1	100	100%
TC47_NODE_20_length_337701_cov_5.369863_fragment_1	371	2	18256	0	100.00%	100%
TC9_NODE_704_length_18229_cov_3.135620	372	1	18229	1	100	100%
TC9_NODE_711_length_18131_cov_3.099145	373	1	18131	1	100	100%
TC29_NODE_2_length_2015733_cov_3.617248_fragment_16	374	1	18102	1	100	100%
TC29_NODE_15_length_878037_cov_40.119936_fragment_1	375	1	18016	1	100	100%
TC5_NODE_42_length_173343_cov_1.925630_fragment_4	376	1	17870	1	100	100%
TC17_NODE_236_length_17747_cov_621.388479	377	1	17747	1	100	100%
TC19_k99_34167	378	1	17716	1	100	100%
TC20_NODE_5_length_1493068_cov_3.623527_fragment_1	379	1	17702	1	100	100%
TC32_NODE_86_length_282059_cov_25.867876_fragment_2	380	2	17690	1	100	100%
TC43_NODE_46_length_282059_cov_4.965747_fragment_1	380	2	9820	0	99.99%	55%
TC2_NODE_70_length_327828_cov_64.579061_fragment_5	381	1	17665	1	100	100%
TC32_NODE_72_length_333875_cov_43.079950_fragment_2_1	382	1	17654	1	100	100%
TC36_NODE_128_length_67482_cov_7.423042_fragment_2_1	383	1	17648	1	100	100%
TC21_NODE_450_length_17582_cov_5.828874	384	1	17582	1	100	100%
TC14_NODE_188_length_55975_cov_1.464636_fragment_1	385	1	17537	1	100	100%
TC44_NODE_12_length_802540_cov_6.386569_fragment_6	386	1	17480	1	100	100%
TC23_NODE_53_length_241168_cov_11.655822_fragment_2_1	387	1	17413	1	100	100%
TC14_NODE_146_length_68352_cov_1.942455_fragment_2	388	1	17409	1	100	100%
TC19_k99_33276_fragment_3	389	1	17408	1	100	100%
TC16_NODE_101_length_52188_cov_20.015117_fragment_1_1	390	1	17302	1	100	100%
TC9_NODE_747_length_17250_cov_2.151259	391	1	17250	1	100	100%
TC31_NODE_17_length_607946_cov_7.763028_fragment_6	392	1	17248	1	100	100%
TC2_NODE_613_length_17127_cov_1.124941	393	1	17127	1	100	100%
TC19_k99_38087_fragment_10	394	1	17093	1	100	100%
TC5_NODE_42_length_173343_cov_1.925630_fragment_2	395	1	17069	1	100	100%
TC43_NODE_58_length_231948_cov_2.108183_fragment_1	396	1	17025	1	100	100%
TC20_NODE_2_length_2062810_cov_9.598793_fragment_11_1	397	1	17003	1	100	100%
TC33_NODE_6_length_1192258_cov_18.151574_fragment_1	398	1	17001	1	100	100%
TC38_NODE_107_length_35249_cov_5.870366_fragment_2	399	1	16971	1	100	100%
TC43_NODE_141_length_85143_cov_2.193587_fragment_1	400	1	16886	1	100	100%
TC15_NODE_750_length_16849_cov_0.986963	401	1	16849	1	100	100%
TC14_NODE_348_length_31590_cov_1.060420_fragment_1	402	1	16843	1	100	100%
TC18_NODE_81_length_51647_cov_12.017042_fragment_1	403	1	16843	1	100	100%
TC13_NODE_4_length_946058_cov_11.361694_fragment_9	404	1	16814	1	100	100%
TC30_NODE_2_length_2539971_cov_38.752415_fragment_8	405	2	16810	1	100	100%
TC29_NODE_7_length_1672870_cov_23.016597_fragment_8	405	2	16810	0	100.00%	100%
TC49_NODE_3_length_824585_cov_11.483758_fragment_8	406	1	16808	1	100	100%
TC1_NODE_68_length_417780_cov_56.735728_fragment_6_1	407	1	16773	1	100	100%
TC35_NODE_52_length_75120_cov_138.760244_fragment_2	408	1	16706	1	100	100%
TC29_NODE_15_length_878037_cov_40.119936_fragment_9_1	409	1	16699	1	100	100%
TC24_NODE_96_length_220406_cov_78.866102_fragment_4	410	1	16666	1	100	100%
TC9_NODE_7_length_1394600_cov_14.790398_fragment_15	411	1	16659	1	100	100%
TC29_NODE_2_length_2015733_cov_3.617248_fragment_27_1	412	2	16652	1	100	100%
TC25_k99_8826	412	2	5914	0	100.00%	35%
TC24_NODE_34_length_424314_cov_2.316250_fragment_6	413	1	16593	1	100	100%
TC20_NODE_20_length_532931_cov_6.959728_fragment_4	414	1	16547	1	100	100%
TC1_NODE_142_length_209220_cov_32.470360_fragment_6	415	1	16285	1	100	100%
TC19_k99_31380	416	1	16223	1	100	100%
TC37_NODE_63_length_179406_cov_2.528333_fragment_2	417	1	16145	1	100	100%
TC33_NODE_43_length_222934_cov_294.200192_fragment_2_1	418	1	16099	1	100	100%
TC31_NODE_14_length_630909_cov_2.214919_fragment_3	419	1	15939	1	100	100%
TC30_NODE_4_length_809732_cov_6.471111_fragment_2	420	1	15890	1	100	100%
TC44_NODE_3_length_2613225_cov_18.249420_fragment_7	421	1	15889	1	100	100%
TC17_NODE_52_length_68826_cov_3.980145_fragment_2_1	422	1	15865	1	100	100%
TC36_NODE_30_length_339274_cov_2.169696_fragment_2_1	423	1	15861	1	100	100%
TC10_NODE_2_length_1986184_cov_10.343854_fragment_18	424	1	15808	1	100	100%
TC36_NODE_461_length_15802_cov_2.432217	425	1	15802	1	100	100%
TC19_k99_36240_fragment_1_1	426	1	15778	1	100	100%
TC10_NODE_3_length_1587167_cov_5.561156_fragment_5	427	1	15754	1	100	100%
TC6_NODE_10_length_786305_cov_10.390390_fragment_1	428	1	15747	1	100	100%
TC32_NODE_31_length_623493_cov_6.258567_fragment_2	429	1	15677	1	100	100%
TC10_NODE_6_length_827305_cov_6.045555_fragment_3	430	1	15581	1	100	100%
TC19_k99_27847_fragment_5_1	431	1	15567	1	100	100%
TC43_NODE_2_length_1821428_cov_5.251378_fragment_9	432	1	15558	1	100	100%
TC16_NODE_7_length_485387_cov_18.967422_fragment_1	433	1	15532	1	100	100%
TC8_NODE_34_length_261083_cov_2.914426_fragment_2	434	1	15512	1	100	100%
TC9_NODE_65_length_284936_cov_15.489672_fragment_4	435	1	15487	1	100	100%
TC21_NODE_16_length_410530_cov_36.647248_fragment_2	436	2	15451	1	100	100%
TC25_k99_10419_fragment_1	436	2	15451	0	100.00%	100%
TC38_NODE_16_length_430220_cov_6.158608_fragment_5	437	1	15440	1	100	100%
TC36_NODE_18_length_574092_cov_3.736860_fragment_5_1	438	2	15421	1	100	100%
TC25_k99_4061_fragment_4_1	438	2	15421	0	100.00%	100%
TC44_NODE_7_length_1694277_cov_17.567553_fragment_30	439	1	15305	1	100	100%
TC9_NODE_357_length_40039_cov_1.810233_fragment_1	440	1	15300	1	100	100%
TC44_NODE_458_length_15300_cov_1.272589	441	1	15300	1	100	100%
TC5_NODE_221_length_20238_cov_1.942121_1	442	1	15298	1	100	100%
TC21_NODE_14_length_418699_cov_4.585020_fragment_1_1	443	1	15239	1	100	100%
TC23_NODE_43_length_306671_cov_19.683448_fragment_1	444	1	15224	1	100	100%
TC20_NODE_27_length_369811_cov_122.340553_fragment_7_1	445	1	15217	1	100	100%
TC22_k99_28617_fragment_1_1	446	2	15092	1	100	100%
TC11_NODE_173_length_107209_cov_264.421014_fragment_3_1	446	2	15004	0	99.99%	99%
TC11_NODE_11_length_500533_cov_12.151295_fragment_4_1	447	1	15042	1	100	100%
TC15_NODE_183_length_60869_cov_5.675101_fragment_1	448	1	15039	1	100	100%
TC25_k99_4215_fragment_4	449	2	14974	1	100	100%
TC36_NODE_5_length_1129584_cov_3.755553_fragment_12	449	2	14402	0	99.99%	96%
TC36_NODE_5_length_1129584_cov_3.755553_fragment_13	450	2	14937	1	100	100%
TC25_k99_4215_fragment_3	450	2	14937	0	99.99%	100%
TC42_NODE_666_length_14858_cov_1.589437	451	1	14858	1	100	100%
TC44_NODE_27_length_518998_cov_4.360797_fragment_6	452	1	14595	1	100	100%
TC15_NODE_840_length_14591_cov_75.606540	453	1	14591	1	100	100%
TC11_NODE_22_length_385827_cov_11.069865_fragment_1	454	1	14477	1	100	100%
TC20_NODE_135_length_14466_cov_1.040100	455	1	14466	1	100	100%
TC44_NODE_12_length_802540_cov_6.386569_fragment_4_1	456	1	14423	1	100	100%
TC5_NODE_19_length_351014_cov_1.745727_fragment_1	457	1	14405	1	100	100%
TC25_k99_2449_fragment_1	458	2	14399	1	100	100%
TC29_NODE_25_length_637024_cov_22.825317_fragment_5	458	2	13508	0	100.00%	93%
TC7_NODE_432_length_18205_cov_1.408950_1	459	1	14387	1	100	100%
TC5_NODE_256_length_14384_cov_1.094901	460	1	14384	1	100	100%
TC19_k99_15742	461	1	14360	1	100	100%
TC9_NODE_7_length_1394600_cov_14.790398_fragment_1	462	1	14341	1	100	100%
TC38_NODE_263_length_14327_cov_0.906690	463	1	14327	1	100	100%
TC9_NODE_16_length_813322_cov_4.054799_fragment_5	464	1	14306	1	100	100%
TC2_NODE_28_length_574127_cov_141.062979_fragment_4_1	465	1	14270	1	100	100%
TC25_k99_1777_fragment_3_1	466	2	14183	1	100	100%
TC36_NODE_92_length_110352_cov_3.862173_fragment_1_1	466	2	10096	0	97.52%	71%
TC22_k99_14870_fragment_3	467	1	14110	1	100	100%
TC42_NODE_19_length_673784_cov_3.620415_fragment_4	468	1	14050	1	100	100%
TC15_NODE_862_length_14042_cov_7.813079	469	1	14042	1	100	100%
TC6_NODE_28_length_291559_cov_501.229687_fragment_1	470	1	14000	1	100	100%
TC19_k99_33276_fragment_2	471	1	13914	1	100	100%
TC2_NODE_12_length_801235_cov_3.561314_fragment_1	472	1	13854	1	100	100%
TC18_NODE_6_length_542659_cov_48.629967_fragment_1	473	1	13789	1	100	100%
TC4_NODE_11_length_431609_cov_20.122188_fragment_1	474	1	13733	1	100	100%
TC14_NODE_233_length_45725_cov_1.536405_fragment_2	475	1	13719	1	100	100%
TC4_NODE_11_length_431609_cov_20.122188_fragment_5_1	476	1	13627	1	100	100%
TC16_NODE_56_length_117433_cov_19.032053_fragment_1	477	1	13548	1	100	100%
TC25_k99_10258_fragment_1	478	1	13463	1	100	100%
TC45_NODE_53_length_265857_cov_35.780277_fragment_1	479	1	13452	1	100	100%
TC42_NODE_90_length_156180_cov_1.716622_fragment_1	480	1	13431	1	100	100%
TC32_NODE_5_length_1149355_cov_47.716533_fragment_2	481	1	13394	1	100	100%
TC44_NODE_23_length_648394_cov_5.577250_fragment_4	482	1	13292	1	100	100%
TC15_NODE_31_length_213053_cov_23.295117_fragment_3_1	483	1	13257	1	100	100%
TC26_NODE_30_length_179076_cov_2.816020_fragment_2	484	1	13237	1	100	100%
TC30_NODE_82_length_88032_cov_1.921347_fragment_1	485	1	13197	1	100	100%
TC9_NODE_1022_length_13183_cov_1.845129	486	1	13183	1	100	100%
TC27_NODE_5_length_948412_cov_34.736842_fragment_11	487	1	13125	1	100	100%
TC11_NODE_945_length_13098_cov_1.512297	488	1	13098	1	100	100%
TC32_NODE_62_length_383417_cov_7.033069_fragment_8_1	489	3	13092	1	100	100%
TC29_NODE_56_length_383418_cov_17.951194_fragment_1_1	489	3	11778	0	100.00%	89%
TC43_NODE_30_length_383417_cov_19.387498_fragment_1_1	489	3	11778	0	100.00%	89%
TC21_NODE_49_length_218453_cov_187.899655_fragment_1	490	1	13090	1	100	100%
TC11_NODE_709_length_21219_cov_1.657453_fragment_1	491	1	13042	1	100	100%
TC16_NODE_15_length_389592_cov_33.467000_fragment_1	492	2	13019	1	100	100%
TC7_NODE_41_length_303396_cov_4.075969_fragment_1	492	2	13019	0	100.00%	100%
TC46_NODE_2_length_2911974_cov_72.510502_fragment_20	493	1	12980	1	100	100%
TC20_NODE_2_length_2062810_cov_9.598793_fragment_22	494	1	12977	1	100	100%
TC5_NODE_271_length_12972_cov_2.150564	495	1	12972	1	100	100%
TC32_NODE_5_length_1149355_cov_47.716533_fragment_13	496	1	12963	1	100	100%
TC16_NODE_19_length_312191_cov_19.359852_fragment_3	497	1	12922	1	100	100%
TC14_NODE_50_length_190353_cov_1.847450_fragment_2_1	498	1	12835	1	100	100%
TC29_NODE_29_length_554407_cov_12.344050_fragment_2	499	1	12802	1	100	100%
TC44_NODE_23_length_648394_cov_5.577250_fragment_7_1	500	1	12749	1	100	100%
TC5_NODE_5_length_1406465_cov_12.571004_fragment_6	501	1	12739	1	100	100%
TC49_NODE_6_length_646733_cov_70.616468_fragment_9	502	1	12725	1	100	100%
TC2_NODE_5_length_1259620_cov_26.931676_fragment_17	503	1	12690	1	100	100%
TC32_NODE_218_length_71311_cov_12.605136_fragment_3	504	1	12609	1	100	100%
TC37_NODE_29_length_373789_cov_3.370501_fragment_2	505	1	12568	1	100	100%
TC41_NODE_126_length_64850_cov_1.873893_fragment_1	506	1	12560	1	100	100%
TC21_NODE_84_length_141430_cov_3.900250_fragment_1	507	2	12560	1	100	100%
TC7_NODE_85_length_176779_cov_13.731659_fragment_1	507	2	12560	0	100.00%	100%
TC46_NODE_8_length_546078_cov_19.002079_fragment_3	508	1	12533	1	100	100%
TC20_NODE_139_length_12529_cov_1.085551	509	1	12529	1	100	100%
TC38_NODE_10_length_634232_cov_15.237639_fragment_4	510	1	12499	1	100	100%
TC2_NODE_207_length_109300_cov_1.932841_fragment_1	511	1	12480	1	100	100%
TC25_k99_4823_fragment_1	512	1	12468	1	100	100%
TC26_NODE_325_length_17971_cov_168.797691_1	513	1	12386	1	100	100%
TC45_NODE_65_length_221895_cov_88.612577_fragment_2	514	1	12385	1	100	100%
TC10_NODE_3_length_1587167_cov_5.561156_fragment_9_1	515	1	12321	1	100	100%
TC29_NODE_2_length_2015733_cov_3.617248_fragment_14	516	1	12300	1	100	100%
TC36_NODE_5_length_1129584_cov_3.755553_fragment_1	517	1	12289	1	100	100%
TC22_k99_19554	518	1	12268	1	100	100%
TC11_NODE_982_length_12261_cov_1.458958	519	1	12261	1	100	100%
TC38_NODE_309_length_12255_cov_351.979799	520	1	12255	1	100	100%
TC42_NODE_7_length_1598515_cov_3.556382_fragment_7	521	1	12202	1	100	100%
TC42_NODE_33_length_406797_cov_2.329609_fragment_1	522	1	12197	1	100	100%
TC14_NODE_794_length_12156_cov_1.263613	523	1	12156	1	100	100%
TC23_NODE_20_length_537434_cov_20.219629_fragment_2	524	1	12005	1	100	100%
TC13_NODE_4_length_946058_cov_11.361694_fragment_1	525	2	11984	1	100	100%
TC50_NODE_6_length_476458_cov_3.813462_fragment_4	525	2	11984	0	100.00%	100%
TC14_NODE_809_length_11973_cov_1.617255	526	1	11973	1	100	100%
TC23_NODE_26_length_409670_cov_6.281934_fragment_4	527	1	11947	1	100	100%
TC19_k99_37799_fragment_1	528	1	11880	1	100	100%
TC7_NODE_4_length_778944_cov_6.565113_fragment_6	529	1	11870	1	100	100%
TC21_NODE_10_length_663821_cov_141.374759_fragment_4_1	530	1	11829	1	100	100%
TC40_NODE_13_length_266733_cov_123.783174_fragment_1	531	1	11778	1	100	100%
TC46_NODE_438_length_20334_cov_10.561538_fragment_1	532	1	11745	1	100	100%
TC9_NODE_817_length_15909_cov_50.093144_1	533	1	11673	1	100	100%
TC41_NODE_545_length_11647_cov_19.706944	534	1	11647	1	100	100%
TC5_NODE_281_length_11537_cov_1.264505	535	1	11537	1	100	100%
TC21_NODE_629_length_11536_cov_1.269875	536	1	11536	1	100	100%
TC36_NODE_67_length_161723_cov_7.924317_fragment_1	537	1	11535	1	100	100%
TC36_NODE_672_length_11480_cov_2.104818	538	1	11480	1	100	100%
TC7_NODE_2_length_1407101_cov_253.573458_fragment_6	539	1	11468	1	100	100%
TC21_NODE_637_length_11426_cov_5.489955	540	1	11426	1	100	100%
TC7_NODE_535_length_11407_cov_1.278103	541	1	11407	1	100	100%
TC39_NODE_732_length_11396_cov_34.803443	542	1	11396	1	100	100%
TC21_NODE_84_length_141430_cov_3.900250_fragment_3	543	2	11364	1	100	100%
TC7_NODE_85_length_176779_cov_13.731659_fragment_3	543	2	11364	0	100.00%	100%
TC31_NODE_628_length_11202_cov_1.167494	544	1	11202	1	100	100%
TC48_NODE_279_length_11086_cov_185.258418	545	1	11086	1	100	100%
TC33_NODE_170_length_11079_cov_14.120526	546	1	11079	1	100	100%
TC15_NODE_1018_length_11076_cov_55.996347	547	1	11076	1	100	100%
TC1_NODE_7_length_1551751_cov_58.689835_fragment_8	548	1	10919	1	100	100%
TC19_k99_8536_fragment_2	549	1	10908	1	100	100%
TC9_NODE_16_length_813322_cov_4.054799_fragment_16	550	1	10889	1	100	100%
TC46_NODE_4_length_2196845_cov_30.805628_fragment_30	551	1	10868	1	100	100%
TC17_NODE_131_length_29950_cov_4.057942_fragment_1_1	552	1	10813	1	100	100%
TC11_NODE_1061_length_10806_cov_1.353217	553	1	10806	1	100	100%
TC37_NODE_6_length_771741_cov_38.645067_fragment_9	554	1	10792	1	100	100%
TC25_k99_9116_fragment_1	555	2	10728	1	100	100%
TC29_NODE_232_length_96751_cov_5.981216_fragment_1	555	2	10728	0	99.99%	100%
TC43_NODE_2_length_1821428_cov_5.251378_fragment_4	556	1	10697	1	100	100%
TC19_k99_36297	557	1	10637	1	100	100%
TC7_NODE_241_length_60815_cov_847.333756_fragment_2	558	1	10514	1	100	100%
TC9_NODE_9_length_1201113_cov_15.041872_fragment_19	559	1	10421	1	100	100%
TC11_NODE_114_length_142642_cov_2.681683_fragment_4	560	2	10411	1	100	100%
TC22_k99_10235_fragment_1	560	2	10381	0	100.00%	99%
TC43_NODE_58_length_231948_cov_2.108183_fragment_2	561	1	10349	1	100	100%
TC43_NODE_43_length_303151_cov_2.146269_fragment_1_1	562	1	10346	1	100	100%
TC1_NODE_29_length_679208_cov_58.042465_fragment_3	563	1	10337	1	100	100%
TC43_NODE_2_length_1821428_cov_5.251378_fragment_12	564	1	10325	1	100	100%
TC21_NODE_701_length_10313_cov_0.851168	565	1	10313	1	100	100%
TC14_NODE_940_length_10295_cov_1.303108	566	1	10295	1	100	100%
TC7_NODE_5_length_742238_cov_32.052233_fragment_3_1	567	1	10271	1	100	100%
TC15_NODE_285_length_42799_cov_5.554696_fragment_1	568	1	10243	1	100	100%
TC12_NODE_57_length_191730_cov_277.144977_fragment_1	569	1	10229	1	100	100%
TC29_NODE_2_length_2015733_cov_3.617248_fragment_3	570	1	10142	1	100	100%
TC19_k99_20484_1	571	1	10132	1	100	100%
TC44_NODE_802_length_10109_cov_1.260068	572	1	10109	1	100	100%
TC32_NODE_5_length_1149355_cov_47.716533_fragment_7	573	1	9941	1	100	100%
TC25_k99_4709_fragment_1	574	1	9937	1	100	100%
TC47_NODE_7_length_713845_cov_10.389930_fragment_11	575	1	9933	1	100	100%
TC42_NODE_907_length_9920_cov_65.905238	576	1	9920	1	100	100%
TC6_NODE_57_length_172417_cov_20.278443_fragment_1	577	1	9917	1	100	100%
TC39_NODE_356_length_33582_cov_1.466687_fragment_1	578	1	9864	1	100	100%
TC41_NODE_74_length_89040_cov_22.550392_fragment_1	579	1	9821	1	100	100%
TC9_NODE_826_length_15718_cov_1.951575_fragment_1	580	1	9795	1	100	100%
TC39_NODE_34_length_404579_cov_7.470906_fragment_6	581	1	9791	1	100	100%
TC11_NODE_6_length_890872_cov_11.620703_fragment_2	582	1	9781	1	100	100%
TC37_NODE_6_length_771741_cov_38.645067_fragment_4	583	1	9747	1	100	100%
TC42_NODE_11_length_1360783_cov_3.952205_fragment_16_1	584	1	9720	1	100	100%
TC13_NODE_4_length_946058_cov_11.361694_fragment_3	585	1	9717	1	100	100%
TC38_NODE_99_length_39050_cov_15.381779_fragment_1	586	1	9703	1	100	100%
TC32_NODE_218_length_71311_cov_12.605136_fragment_1	587	1	9677	1	100	100%
TC31_NODE_788_length_9656_cov_1.230454	588	1	9656	1	100	100%
TC43_NODE_305_length_9483_cov_20.325246	589	3	9483	1	100	100%
TC32_NODE_441_length_9483_cov_7.642262	589	3	9483	0	100.00%	100%
TC29_NODE_977_length_9483_cov_18.388521	589	3	9483	0	100.00%	100%
TC31_NODE_808_length_9471_cov_0.913527	590	1	9471	1	100	100%
TC21_NODE_778_length_9445_cov_1.307899	591	1	9445	1	100	100%
TC13_NODE_347_length_9432_cov_1.379581	592	1	9432	1	100	100%
TC21_NODE_786_length_9405_cov_1.599052	593	1	9405	1	100	100%
TC28_NODE_390_length_9361_cov_0.890838	594	1	9361	1	100	100%
TC6_NODE_24_length_334762_cov_14.643899_fragment_6	595	1	9360	1	100	100%
TC12_NODE_5_length_1359165_cov_50.766149_fragment_4	596	1	9286	1	100	100%
TC32_NODE_29_length_671025_cov_11.157456_fragment_2	597	1	9253	1	100	100%
TC17_NODE_509_length_9166_cov_551.573404	598	1	9166	1	100	100%
TC22_k99_11109	599	1	9130	1	100	100%
TC18_NODE_227_length_9107_cov_1.102339	600	1	9107	1	100	100%
